date,open,high,low,close,volume
1672151400,382.79,383.15,379.65,381.40,51638200
1672237800,381.33,383.39,376.42,376.66,70911500
1672324200,379.63,384.35,379.08,383.44,66970900
1672410600,380.64,382.58,378.43,382.43,84022200
1672756200,384.37,386.43,377.83,380.82,74850700
1672842600,383.18,385.88,380.00,383.76,85934100
1672929000,381.72,381.84,378.76,379.38,76970500
1673015400,382.61,389.25,379.41,388.08,104189600
1673274600,390.37,393.70,387.67,387.86,73978100
1673361000,387.25,390.65,386.27,390.58,65358100
1673447400,392.23,395.60,391.38,395.52,68881100
1673533800,396.67,398.49,392.42,396.96,90157700
1673620200,393.62,399.10,393.34,398.50,63903900
1673965800,398.48,400.23,397.06,397.77,62677300
1674052200,399.01,400.12,391.28,391.49,99632300
1674138600,389.36,391.08,387.26,388.64,86958900
1674225000,390.10,396.04,388.38,395.88,91806400
1674484200,396.72,402.65,395.72,400.63,84178800
1674570600,398.88,401.15,397.64,400.20,59524900
1674657000,395.95,400.70,393.56,400.35,84800300
1674743400,403.13,404.92,400.03,404.75,72287400
1674829800,403.66,408.16,403.44,405.68,68346200
1675089000,402.80,405.13,400.28,400.59,74202000
1675175400,401.13,406.53,400.77,406.48,86811800
1675261800,405.21,413.67,402.35,410.80,101459200
1675348200,414.86,418.31,412.88,416.78,101654500
1675434600,411.59,416.97,411.09,412.35,94736800
1675693800,409.79,411.29,408.10,409.83,60295300
1675780200,408.87,416.49,407.57,415.19,90990700
1675866600,413.13,414.53,409.93,410.65,76227500
1675953000,414.41,414.57,405.81,407.09,78694900
1676039400,405.86,408.44,405.01,408.04,70769700
1676298600,408.72,412.97,408.24,412.83,64913500
1676385000,411.24,415.05,408.51,412.64,88389300
1676471400,410.35,414.06,409.47,413.98,61555700
1676557800,408.79,412.91,408.14,408.28,76431500
1676644200,406.06,407.51,404.05,407.26,89257800
1676989800,403.06,404.16,398.82,399.09,82655900
1677076200,399.52,401.13,397.02,398.54,83742300
1677162600,401.56,402.20,396.25,400.66,96242400
1677249000,395.42,397.25,393.64,396.38,108194400
1677508200,399.87,401.29,396.75,397.73,80444700
1677594600,397.23,399.28,396.15,396.26,96438600
1677681000,395.41,396.69,393.38,394.74,99706800
1677767400,392.68,398.69,392.33,397.81,85127800
1677853800,399.71,404.45,399.03,404.19,90120000
1678113000,405.05,407.45,404.01,404.47,72795900
1678199400,404.42,404.67,397.63,398.27,108310600
1678285800,398.39,399.71,396.59,398.92,74746600
1678372200,399.74,401.48,390.53,391.56,111945300
1678458600,390.99,393.16,384.32,385.91,189253000
1678714200,381.81,390.39,380.65,385.36,157790000
1678800600,390.50,393.45,387.05,391.73,149752400
1678887000,385.89,389.49,383.71,389.28,172996900
1678973400,386.82,396.47,386.29,396.11,143254200
1679059800,393.22,394.40,388.55,389.99,140553400
1679319000,390.80,394.17,390.07,393.74,93055800
1679405400,397.24,399.41,395.58,398.91,91524200
1679491800,398.73,402.49,392.07,392.11,111746600
1679578200,395.09,399.29,390.35,393.17,119351300
