date,open,high,low,close,volume
1655386200,275.59,276.06,269.28,271.39,81910300
1655472600,272.18,277.19,270.51,274.69,82703400
1655818200,278.75,283.45,278.64,281.08,51633700
1655904600,278.52,285.18,277.91,280.67,67472900
1655991000,283.21,285.72,280.31,284.85,57457800
1656077400,287.74,295.04,287.50,294.61,58422300
1656336600,296.00,296.58,291.29,292.45,54151500
1656423000,293.00,295.65,283.35,283.54,61609800
1656509400,283.40,285.34,280.84,283.80,57302700
1656595800,280.75,283.94,275.78,280.28,79313600
1656682200,278.95,282.53,277.03,282.13,56675100
1657027800,278.31,287.08,276.75,286.96,61829300
1657114200,287.35,290.95,285.59,288.80,63194700
1657200600,289.63,295.70,289.63,294.98,56620100
1657287000,292.08,296.75,291.12,295.35,59895500
1657546200,292.88,293.11,288.14,289.04,55273900
1657632600,290.32,292.28,284.61,286.24,55797100
1657719000,280.60,288.05,280.02,285.65,73939400
1657805400,282.99,287.56,279.80,286.67,63741800
1657891800,289.73,291.98,288.08,291.87,63818100
1658151000,294.72,296.16,288.20,289.40,59519600
1658237400,293.11,298.60,291.47,298.30,55172600
1658323800,298.73,304.24,297.93,303.03,67769400
1658410200,303.50,307.44,300.78,307.38,55049400
1658496600,306.43,308.55,300.12,301.99,57127700
1658755800,302.02,302.50,298.22,300.27,40582400
1658842200,298.53,298.79,293.54,294.37,50074100
1658928600,299.04,308.54,298.46,306.81,69304400
1659015000,306.59,310.40,302.75,309.81,55139900
1659101400,311.39,316.39,309.93,315.46,57501000
1659360600,313.65,318.81,312.53,315.27,46358800
1659447000,312.92,318.55,311.84,314.33,48676500
1659533400,316.05,323.73,315.99,322.89,53735700
1659619800,322.97,324.72,320.77,324.40,38973700
1659706200,319.19,323.83,318.39,321.75,53894000
1659965400,322.69,326.47,319.21,320.71,43878500
1660051800,318.77,319.03,315.42,317.08,39764200
1660138200,324.59,326.23,322.06,325.93,51459600
1660224600,328.31,330.36,323.36,324.08,45897700
1660311000,326.18,330.59,325.10,330.39,40928400
1660570200,329.42,333.57,329.40,333.06,38266600
1660656600,332.06,334.42,329.16,332.28,41186900
1660743000,329.07,331.43,326.36,328.49,47842200
1660829400,328.44,330.49,326.79,329.28,41937200
1660915800,326.17,326.84,322.08,322.86,51770600
1661175000,318.50,318.74,313.53,314.36,51098900
1661261400,314.12,317.00,313.33,314.10,39497100
1661347800,313.61,316.87,312.99,315.01,38057100
1661434200,316.83,320.60,315.76,320.58,38098300
1661520600,320.28,321.51,307.35,307.44,69047700
1661779800,304.62,307.22,303.28,304.41,48321900
1661866200,306.10,306.73,298.44,301.02,51184500
1661952600,303.99,304.91,299.16,299.27,50044000
1662039000,296.72,299.78,292.95,299.40,57990700
1662125400,302.34,303.75,293.52,295.17,64666800
1662471000,295.66,296.60,290.87,293.05,57005400
1662557400,293.54,299.99,293.27,298.97,49260400
1662643800,296.85,301.87,295.45,300.52,55649800
1662730200,302.83,307.60,300.52,307.09,56125200
1662989400,308.50,311.08,308.18,310.74,45905700
1663075800,301.80,303.02,292.79,293.70,79562200
1663162200,294.87,296.93,293.06,296.03,54907200
1663248600,294.07,296.53,289.46,291.10,65299400
1663335000,287.72,289.72,285.62,289.32,79920400
1663594200,286.10,291.21,286.04,291.05,52613800
1663680600,288.49,291.07,286.38,288.73,51271100
1663767000,289.59,293.95,283.42,283.56,82931000
1663853400,282.00,283.03,278.82,280.07,62757100
1663939800,277.55,277.85,272.02,275.51,74815200
1664199000,275.03,279.49,273.56,274.37,71176700
1664285400,277.81,280.21,272.11,274.48,69780100
1664371800,274.46,281.25,272.95,279.94,79652100
1664458200,275.86,276.25,268.84,271.87,81216000
1664544600,271.03,275.19,267.10,267.26,78482400
1664803800,269.07,275.16,267.53,273.53,61267400
1664890200,278.99,282.85,278.99,282.13,66696900
1664976600,278.28,283.81,275.42,281.98,55766300
1665063000,280.96,284.18,279.43,279.76,53489400
1665149400,275.02,275.15,267.74,269.10,71354700
1665408600,269.30,269.70,263.64,266.41,60393000
1665495000,264.70,267.63,261.03,262.75,66522500
1665581400,263.40,265.36,261.95,262.66,50580200
1665667800,255.16,270.17,254.26,268.82,112894100
1665754200,271.20,271.81,260.14,260.74,77244300
1666013400,266.84,270.24,266.74,269.35,64576500
1666099800,276.53,277.21,268.74,271.48,69781000
1666186200,269.93,273.68,268.07,270.49,53115400
